Company_Name,Category,M_Name,URL
accurateexports,trading,Accurate Exp,http://www.moneycontrol.com/india/stockpricequote/trading/accurateexports/AE12
accuratetransformers,electricequipment,Accurate Transf,http://www.moneycontrol.com/india/stockpricequote/electricequipment/accuratetransformers/ATL03
aceedutrend,diversified,ACE Edutrend,http://www.moneycontrol.com/india/stockpricequote/diversified/aceedutrend/AIF
aceintegratedsolutions,miscellaneous,ACE Integrated,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/aceintegratedsolutions/AIS
acelaboratories,pharmaceuticals,Ace Labs,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/acelaboratories/AL01
acemenenggworkslimited,trading,Ace Men Engg Wo,http://www.moneycontrol.com/india/stockpricequote/trading/acemenenggworkslimited/AME03
acesoftwareexports,computerssoftwaremediumsmall,Ace Soft Export,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftwareexports/ASE02
acesoftware,computerssoftwaremediumsmall,Ace Software,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/acesoftware/AS23
acestonecraft,ceramicsgranite,Ace Stonecraft ,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/acestonecraft/ASL02
acetoursworldwide,miscellaneous,Ace Tours,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/acetoursworldwide/ATW
acewinagriteck,miscellaneous,Acewin Agriteck,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/acewinagriteck/INE02
achalinvestments,financeinvestments,Achal Invest,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/achalinvestments/AI68
aciinfocom,computershardware,ACI Infocom,http://www.moneycontrol.com/india/stockpricequote/computershardware/aciinfocom/ACI07
acilcottonindustries,textilesspinningcottonblended,ACIL Cotton Ind,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acilcottonindustries/ACI14
acknitindustriesltd,textileshosieryknitwear,Acknit Industri,http://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/acknitindustriesltd/AK
acmefluoropolymers,miscellaneous,Acme Fluoro Pol,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/acmefluoropolymers/AFP01
acmeindustries,steelmediumsmall,Acme Industries,http://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/acmeindustries/AI02
acmeresources,financeinvestments,Acme Resources,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/acmeresources/AR9
acmespinners,textilesspinningcottonblended,Acme Spinners,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/acmespinners/ASL01
acquaintexports,aquaculture,Acquaint Export,http://www.moneycontrol.com/india/stockpricequote/aquaculture/acquaintexports/AE
acropetaltechnologies,computerssoftware,Acropetal Tech,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/acropetaltechnologies/AT21
acrowindia,constructioncontractingcivil,Acrow India,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/acrowindia/AI03
acrysilindia,plastics,Acrysil India,http://www.moneycontrol.com/india/stockpricequote/plastics/acrysilindia/AI04
actionconstructionequipment,engineeringheavy,Action Const,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3
actionfinancialservicesindia,financeinvestments,Action Financia,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/actionfinancialservicesindia/AFS01
activeclothingcoltd,miscellaneous,Active Clothing,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/activeclothingcoltd/ACC
acumentradinginvestments,financeinvestments,Acumen Trading ,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/acumentradinginvestments/ATI01
admanumfinance,financeleasinghirepurchase,Ad Manum Fin,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/admanumfinance/AMF01
adamcomsof,computerssoftwaremediumsmall,Adam Comsof,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/adamcomsof/AC01
adanienterprises,trading,Adani Enterpris,http://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13
adanigreenenergylimited,powergenerationdistribution,Adani Green Ene,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanigreenenergylimited/ADANI54145
adaniportsspecialeconomiczone,infrastructuregeneral,Adani Ports,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/adaniportsspecialeconomiczone/MPS
adanipower,powergenerationdistribution,Adani Power,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/adanipower/AP11
adanitransmission,powertransmissionequipment,Adani Trans,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/adanitransmission/AT22
adarshchemicalsfertilisers,fertilisers,Adarsh Chemical,http://www.moneycontrol.com/india/stockpricequote/fertilisers/adarshchemicalsfertilisers/ACF
adarshmercantile,miscellaneous,Adarsh Mercant,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/adarshmercantile/AM12
adarshplantationprojects,pumps,Adarsh Plant,http://www.moneycontrol.com/india/stockpricequote/pumps/adarshplantationprojects/APP01
adcindiacommunications,telecommunicationsequipment,ADC India Comm,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/adcindiacommunications/KC07
adconcapitalservices,financeinvestments,Adcon Capital,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/adconcapitalservices/ACS06
